spotify_id,track_name,artist_name,lastfm_listeners,lastfm_playcount,duration_ms,tags,like_prob
5hVghJ4KaYES3BFUATCYn0,EARFQUAKE,"Tyler, The Creator",1974880,37132058,190000,"neo-soul,alternative rnb,experimental hip hop,psychedelic soul,synth funk,soul,rap,pop rap,neo-psychedelia,alternative,hip-hop,ofwgkta,underground hip-hop,swag,hip hop",0.8005549528675657
0HMMmXVEAoQyS3BbjKi6tF,SATISFACTION,SiR,91019,495205,130000,"rnb,soul,neo-soul,contemporary rnb,tde,los angeles,german,progressive metal,electronic,house",0.7923226253905272
7wNAM0qzErN5Dr9uV6B3fW,Only If,Steve Lacy,472335,4775839,89000,"soul,rnb,neo soul,male vocalists,dope,soul-funk,magical,17,lit,time travel,free jazz,jazz,saxophone,avant-garde jazz,avant-garde",0.7301799160914186
6IZvVAP7VPPnsGX6bvgkqg,PRIDE.,Kendrick Lamar,1718546,30973804,275000,"conscious hip hop,neo-soul,rap,west coast hip hop,hip hop,kendrick lamar,soul,2017,rnb,hip-hop,west coast,compton,california,jazz rap,hardcore hip hop",0.6997576909849017
1j9033Qmddn2YvOT2owNwE,Top Notch,BossMan Dlow,3968,20916,153000,"rap,florida,trap,hip hop,hip-hop,usa,my top songs,hard trap,port salerno,florida drill",0.6955068987468296
5SusLOd5pOU6akwkkODXf5,Envy,Ogi,24754,118933,247000,"rap,hip hop,rap nacional,brazilian,brazil,brazilian rap,brasil,rnb,mlk zika,bulgarian",0.6308745491805694
0bHer4P44xn8jcyMH0EMs8,Neu Roses (Transgressor's Song),Daniel Caesar,258428,2447544,160000,"rnb,canada,daniel caesar,soul,neo-soul,canadian,alternative rnb,gospel,experimental,my top songs,ca",0.5580912202956403
0b83L1ToHRiwlpmUAjiCHc,Valentina,Daniel Caesar,488593,5666132,155000,"rnb,soul,neo-soul,canadian,alternative rnb,gospel,experimental,my top songs,canada,ca",0.5580912202956403
4kgBKSVyDGTIpqnglasnKW,A Cappella,Daniel Caesar,139353,1081708,88000,"rnb,soul,neo-soul,canadian,alternative rnb,gospel,experimental,my top songs,canada,ca",0.5580912202956403
4NaIl2XLSgc5AoFIZm1NIU,Poxa,Cortex,210804,1020501,195000,"post-punk,jazz,french,funk,swedish,punk,70s,jazz funk,free jazz,punk rock",0.5309754001523216
0J119Oas2ox6JTTHUGZxHN,Give You the World,Steve Lacy,498620,5478977,264000,"psychedelic soul,love,rnb,chill,bedroom pop,neo-soul,progressive soul,sad,jazz fusion,funk,free jazz,jazz,saxophone,avant-garde jazz,soul",0.5051831887651033
2Bc4XnUlkgPvwvfwsCbgcD,Footprints,T.O.K,44057,136264,212000,"dancehall,reggae,ragga,rap,bashment,jamaica,jamaican,tok,all,love songs",0.3578928495326758
26PwuMotZqcczKLHi4Htz3,Redemption Song,Bob Marley & The Wailers,746656,3938296,228000,"reggae,roots reggae,ska,roots,classic rock,jamaican,jamaica,bob marley,70s,rocksteady",0.2641849086575423
2eYc2MLvTp8u00FepRhflw,JUMP (BOUNCE),Armanii,2983,18792,0,"jamaica,dancehall",0.21886901748289062
1tv0QvEP9fMSEa4haXlxE5,Guh Dung,Ayetian,443,2763,0,dancehall,0.21886901748289062
